@RELATION covid

@ATTRIBUTE State STRING
@ATTRIBUTE Tested NUMERIC
@ATTRIBUTE Infected NUMERIC
@ATTRIBUTE Deaths NUMERIC
@ATTRIBUTE Population NUMERIC
@ATTRIBUTE PopDensity NUMERIC
@ATTRIBUTE Gini NUMERIC
@ATTRIBUTE ICUBeds NUMERIC
@ATTRIBUTE Income NUMERIC
@ATTRIBUTE GDP NUMERIC
@ATTRIBUTE Unemployment NUMERIC
@ATTRIBUTE Hospitals NUMERIC
@ATTRIBUTE HealthSpending NUMERIC

@DATA
Alaska,36380,399,10,734002,1.2863,0.4081,119,59687,73205,5.8,21,11064
Alabama,157566,12376,504,4908621,96.9221,0.4847,1533,42334,45219,2.7,101,7281
Arkansas,93701,4923,102,3038999,58.403,0.4719,732,42566,42454,3.5,88,7408
Arizona,220612,14566,704,7378494,64.955,0.4713,1559,43650,48055,4.5,83,6452
California,1339316,81795,3334,39937489,256.3727,0.4899,7338,62586,74205,3.9,359,7549
Colorado,131837,22482,1257,5845526,56.4011,0.4586,1597,56846,63882,2.5,89,6804
Connecticut,185520,38430,3472,3563077,735.8689,0.4945,674,74561,76342,3.8,32,9859
District-of-Columbia,39374,7434,400,720687,11814.541,0.542,314,47285,200277,5.2,10,11944
Delaware,44132,8037,304,982895,504.3073,0.4522,186,51449,77253,3.9,7,10254
Florida,681314,45684,2052,21992985,410.1256,0.4852,5604,49417,48318,2.8,217,8076
Georgia,378156,38855,1675,10736059,186.6719,0.4813,2508,45745,55832,3.1,145,6587
Hawaii,40511,641,17,1412687,219.9419,0.442,201,54565,64096,2.7,22,7299
Iowa,107647,15349,372,3179849,56.9284,0.4451,545,48823,59977,2.8,118,8200
Idaho,37847,2476,77,1826156,22.0969,0.4503,314,43155,43430,2.7,45,6927
Illinois,621684,98030,4379,12659682,228.0243,0.481,3144,56933,67268,3.4,187,8262
Indiana,189330,28705,1678,6745354,188.281,0.4527,1861,46646,55172,3.1,132,8300
Kansas,66990,8340,173,2910357,35.5968,0.455,767,50155,56334,3.1,139,7651
Kentucky,153800,8069,366,4499692,113.9566,0.4813,1392,41779,46898,4.2,105,8004
Louisiana,278073,35038,2458,4645184,107.5175,0.499,1289,45542,53589,5.2,158,7815
Massachusetts,476940,87925,5938,6976597,894.4355,0.4786,1326,70073,82480,2.8,75,10559
Maryland,208658,41546,2081,6083116,626.6731,0.4499,1134,62914,68573,3.3,50,8602
Maine,34776,1741,73,1345790,43.6336,0.4519,256,48241,47969,3.2,34,9531
Michigan,438565,52350,5017,10045029,177.6655,0.4695,2423,47582,53209,3.6,144,8055
Minnesota,161835,17029,748,5700671,71.5922,0.4496,1171,56374,64675,3.1,127,8871
Missouri,158296,11080,616,6169270,89.7453,0.4646,1888,46635,51699,3.5,122,8107
Mississippi,117760,11704,554,2989260,63.7056,0.4828,824,37994,37948,5.4,99,7646
Montana,28950,471,16,1086759,7.4668,0.4667,165,47120,46609,3.5,56,8221
North-Carolina,265008,19700,691,10611862,218.2702,0.478,2227,45834,54441,3.6,112,7264
North-Dakota,57731,1994,45,761723,11.0393,0.4533,238,54306,72597,2.2,39,9851
Nebraska,72333,10846,132,1952570,25.4161,0.4477,440,52110,63942,2.9,93,8412
New-Hampshire,42869,3721,182,1371246,153.1605,0.4304,242,61405,63067,2.6,28,9589
New-Jersey,520182,149013,10586,8936574,1215.1991,0.4813,1822,67609,69378,3.8,82,8859
New-Mexico,142246,6192,276,2096640,17.285,0.4769,340,41198,46954,4.8,41,7214
Nevada,103703,7046,373,3139658,28.5993,0.4577,900,48225,55269,3.6,44,6714
New-York,1467739,352845,22843,19440469,412.5211,0.5229,3952,68667,85746,3.7,166,9778
Ohio,277602,28952,1720,11747694,287.5038,0.468,3314,48242,57492,4.1,194,8712
Oklahoma,145218,5489,294,3954821,57.6547,0.4645,1064,46128,50613,3.2,125,7627
Oregon,99630,3726,140,4301089,44.8086,0.4583,659,49908,56956,3.3,61,8044
Pennsylvania,349700,63666,4624,12820878,286.5449,0.4689,3169,55349,61594,4.7,199,9258
Rhode-Island,11633,2805,124,1056161,1021.4323,0.4781,279,54523,57852,3.4,11,9551
South-Carolina,117246,12951,532,5210095,173.3174,0.4735,1225,42736,45280,2.5,69,7311
South-Dakota,135063,9056,399,903027,11.9116,0.4495,152,50141,58624,3.3,57,8933
Tennessee,29045,4027,44,6897576,167.2748,0.479,2209,47179,53933,3.4,115,7372
Texas,346123,18378,305,29472295,112.8204,0.48,6199,49161,61167,3.5,523,6998
Utah,744937,49912,1369,3282115,39.943,0.4063,565,45340,55550,2.5,54,5982
Virginia,177311,7518,88,8626207,218.4403,0.4705,1654,56952,62563,2.6,96,7556
Vermont,201183,32145,1041,628061,68.1416,0.4539,94,53598,53523,2.4,14,10190
Washington,24591,944,54,7797095,117.3272,0.4591,1265,60781,74182,3.8,92,7913
Wisconsin,293120,18811,1031,5851754,108.0497,0.4498,1159,50756,57720,3.5,133,8702
West-Virginia,161122,12885,467,1778070,73.9691,0.4711,653,40578,43053,4.9,56,9462
Wyoming,78611,1514,68,567025,5.84,0.436,102,60095,69900,3.7,29,8320
